Var1
a09s,c01s,a10s,a03s,b05s,a13s,b06s,c07s,a14s,b11s,a04s,b12s,c02s,c08s
a09s,c11s,b13s,a10s,b01s,a07s,c12s,b05s,b06s,c03s,b14s,a08s,b02s,c04s
b03s,a07s,c13s,b04s,c14s,b11s,a01s,c09s,b12s,c10s,a05s,a06s,a08s,a02s
a09s,c05s,b13s,a10s,c06s,a03s,b14s,a01s,b11s,c07s,b12s,a04s,a02s,c08s
b09s,c13s,b10s,c03s,a05s,c07s,b11s,a06s,b12s,a01s,c14s,c04s,c08s,a02s
c05s,b13s,c06s,a03s,b14s,a01s,b11s,c09s,c10s,b12s,a04s,c07s,a02s,c08s
b07s,c13s,c03s,a11s,c09s,a05s,c10s,b01s,a06s,c14s,c04s,b08s,a12s,b02s
b07s,c11s,a03s,a13s,c12s,b01s,a14s,a04s,c09s,a05s,c10s,b08s,a06s,b02s
a09s,b07s,c11s,a10s,a13s,c12s,b01s,a14s,a05s,c03s,a06s,b08s,c04s,b02s
a09s,c13s,a10s,a03s,b01s,c14s,b05s,c11s,a04s,b06s,c12s,b02s,c07s,c08s
b09s,c13s,a03s,b10s,c14s,a04s,b01s,c11s,a05s,a06s,c12s,b02s,c07s,c08s
